Dato;Beneficio;Retencion;Compartido;Resultado1;Resultado2;Resultado3;Resultado4;Resultado5;Resultado6;Resultado7
video;usuario;un año;compartido;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;recopilador de datos;no especificado;compartido;En desacuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
datos biométricos;recopilador de datos;siempre;no especificado;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
presencia;usuario;hasta que se cumpla el proposito;compartido;De acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;De acuerdo;Permitir
posición;usuario;una semana;compartido;En desacuerdo;De acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
video;usuario;un año;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
datos biométricos;recopilador de datos;siempre;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
presencia;usuario;hasta que se cumpla el proposito;compartido;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
posición;usuario;una semana;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
video;usuario;un año;compartido;Ni en desacuerdo ni de acuerdo;De acuerdo;;;De acuerdo;Totalmente en desacuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;Ni en desacuerdo ni de acuerdo;De acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;recopilador de datos;siempre;no especificado;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;Permitir
presencia;usuario;hasta que se cumpla el proposito;compartido;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;En desacuerdo;En desacuerdo;Denegar
posición;usuario;una semana;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
video;usuario;un año;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente en desacuerdo;Permitir
datos biométricos;recopilador de datos;siempre;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Permitir
presencia;usuario;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
posición;usuario;una semana;compartido;Totalmente de acuerdo;Totalmente en desacuerdo;De acuerdo;;Totalmente en desacuerdo;Totalmente en desacuerdo;Permitir
video;usuario;un año;compartido;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;Ni en desacuerdo ni de acuerdo;En desacuerdo;De acuerdo;;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;recopilador de datos;siempre;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;usuario;hasta que se cumpla el proposito;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;De acuerdo;Permitir
posición;usuario;una semana;compartido;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
video;usuario;un año;compartido;De acuerdo;De acuerdo;;;En desacuerdo;De acuerdo;Denegar
presencia;recopilador de datos;no especificado;compartido;De acuerdo;De acuerdo;;;De acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;recopilador de datos;siempre;no especificado;Totalmente en desacuerdo;De acuerdo;;;De acuerdo;En desacuerdo;Denegar
presencia;usuario;hasta que se cumpla el proposito;compartido;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Permitir
posición;usuario;una semana;compartido;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Permitir
video;usuario;un año;compartido;En desacuerdo;De acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
presencia;recopilador de datos;no especificado;compartido;De acuerdo;De acuerdo;;;De acuerdo;De acuerdo;Permitir
datos biométricos;recopilador de datos;siempre;no especificado;De acuerdo;De acuerdo;;;De acuerdo;En desacuerdo;Permitir
presencia;usuario;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;Totalmente de acuerdo;Permitir
posición;usuario;una semana;compartido;Totalmente en desacuerdo;De acuerdo;;;Totalmente en desacuerdo;Totalmente en desacuerdo;Denegar
video;usuario;un año;compartido;De acuerdo;De acuerdo;;;De acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;De acuerdo;De acuerdo;;;De acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
datos biométricos;recopilador de datos;siempre;no especificado;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;De acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;usuario;hasta que se cumpla el proposito;compartido;De acuerdo;Totalmente de acuerdo;;;De acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
posición;usuario;una semana;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
video;usuario;un año;compartido;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Permitir
presencia;recopilador de datos;no especificado;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
datos biométricos;recopilador de datos;siempre;no especificado;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
presencia;usuario;hasta que se cumpla el proposito;compartido;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
posición;usuario;una semana;compartido;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Permitir
video;usuario;un año;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;recopilador de datos;no especificado;compartido;En desacuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
datos biométricos;recopilador de datos;siempre;no especificado;En desacuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;usuario;hasta que se cumpla el proposito;compartido;De acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Denegar
posición;usuario;una semana;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
video;usuario;un año;compartido;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;De acuerdo;Denegar
presencia;recopilador de datos;no especificado;compartido;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
datos biométricos;recopilador de datos;siempre;no especificado;En desacuerdo;Ni en desacuerdo ni de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
presencia;usuario;hasta que se cumpla el proposito;compartido;De acuerdo;Totalmente de acuerdo;;;De acuerdo;De acuerdo;Permitir
posición;usuario;una semana;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;En desacuerdo;Permitir
posición;recopilador de datos;una semana;compartido;De acuerdo;Ni en desacuerdo ni de acuerdo;;;De acuerdo;En desacuerdo;Permitir
presencia;recopilador de datos;siempre;no especificado;Totalmente de acuerdo;Ni en desacuerdo ni de acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Permitir
posición;recopilador de datos;un año;compartido;Totalmente de acuerdo;En desacuerdo;De acuerdo;;De acuerdo;De acuerdo;Permitir
video;usuario;no especificado;compartido;Ni en desacuerdo ni de acuerdo;En desacuerdo;Ni en desacuerdo ni de acuerdo;;De acuerdo;Totalmente de acuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;De acuerdo;Permitir
posición;recopilador de datos;una semana;compartido;Ni en desacuerdo ni de acuerdo;De acuerdo;;;De acuerdo;En desacuerdo;Permitir
presencia;recopilador de datos;siempre;no especificado;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
posición;recopilador de datos;un año;compartido;Ni en desacuerdo ni de acuerdo;De acuerdo;;;Ni en desacuerdo ni de acuerdo;En desacuerdo;Permitir
video;usuario;no especificado;compartido;Totalmente de acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
posición;recopilador de datos;una semana;compartido;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Permitir
presencia;recopilador de datos;siempre;no especificado;Ni en desacuerdo ni de acuerdo;En desacuerdo;En desacuerdo;Ni en desacuerdo ni de acuerdo;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;Permitir
posición;recopilador de datos;un año;compartido;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;De acuerdo;Totalmente en desacuerdo;Permitir
video;usuario;no especificado;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;Permitir
