Dato;Beneficio;Retencion;Compartido;Resultado1;Resultado2;Resultado3;Resultado4;Resultado5;Resultado6;Resultado7
posición;usuario;siempre;compartido;Ni en desacuerdo ni de acuerdo;Totalmente en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Denegar
presencia;usuario;un año;no especificado;De acuerdo;Totalmente en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente de acuerdo;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;Denegar
video;recopilador de datos;no especificado;no especificado;De acuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente de acuerdo;En desacuerdo;En desacuerdo;Denegar
datos biométricos;recopilador de datos;una semana;no especificado;De acuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Permitir
posición;usuario;siempre;compartido;En desacuerdo;De acuerdo;;;En desacuerdo;En desacuerdo;Denegar
presencia;usuario;un año;no especificado;En desacuerdo;De acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Denegar
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;Totalmente de acuerdo;Totalmente de acuerdo;;;En desacuerdo;Totalmente en desacuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;De acuerdo;Totalmente en desacuerdo;Permitir
datos biométricos;recopilador de datos;una semana;no especificado;Totalmente de acuerdo;Totalmente de acuerdo;;;Ni en desacuerdo ni de acuerdo;Totalmente de acuerdo;Permitir
posición;usuario;siempre;compartido;De acuerdo;Totalmente de acuerdo;;;Totalmente de acuerdo;En desacuerdo;Permitir
presencia;usuario;un año;no especificado;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir
datos biométricos;recopilador de datos;hasta que se cumpla el proposito;compartido;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir
video;recopilador de datos;no especificado;no especificado;De acuerdo;Totalmente de acuerdo;;;En desacuerdo;En desacuerdo;Permitir
