Dato;Beneficio;Retencion;Compartido;Resultado1;Resultado2;Resultado3;Resultado4;Resultado5;Resultado6;Resultado7
Presence;Data collector;Always;Unspecified;Totally agree;Neither disagree nor agree;;;Neither disagree nor agree;Agree;Allow
Position;Data collector;A year;Shared;Totally agree;Disagree;Agree;;Agree;Agree;Allow
Video;User;Unspecified;Shared;Neither disagree nor agree;Disagree;Neither disagree nor agree;;Agree;Totally agree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Totally agree;Agree;;;Neither disagree nor agree;Agree;Allow
Position;Data collector;A week;Shared;Neither disagree nor agree;Agree;;;Agree;Disagree;Allow
Presence;Data collector;Always;Unspecified;Neither disagree nor agree;Agree;;;Neither disagree nor agree;Disagree;Allow
Position;Data collector;A year;Shared;Neither disagree nor agree;Agree;;;Neither disagree nor agree;Disagree;Allow
Video;User;Unspecified;Shared;Totally agree;Agree;;;Disagree;Disagree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Agree;Agree;;;Disagree;Disagree;Allow
Position;Data collector;A week;Shared;Neither disagree nor agree;Totally disagree;Totally disagree;Agree;Totally disagree;Totally disagree;Allow
Presence;Data collector;Always;Unspecified;Neither disagree nor agree;Disagree;Disagree;Neither disagree nor agree;Neither disagree nor agree;Totally agree;Allow
Position;Data collector;A year;Shared;Neither disagree nor agree;Totally disagree;Totally disagree;Agree;Agree;Totally disagree;Allow
Video;User;Unspecified;Shared;Totally agree;Totally agree;;;Neither disagree nor agree;Totally disagree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Totally agree;Neither disagree nor agree;;;Neither disagree nor agree;Totally disagree;Allow
Position;Data collector;A week;Shared;Disagree;Disagree;Totally disagree;Totally disagree;Disagree;Totally disagree;Deny
Presence;Data collector;Always;Unspecified;Disagree;Disagree;Totally agree;;Disagree;Disagree;Allow
Position;Data collector;A year;Shared;Disagree;Totally disagree;Totally agree;;Disagree;Disagree;Deny
Video;User;Unspecified;Shared;Agree;Agree;;;Disagree;Disagree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Agree;Agree;;;Agree;Agree;Allow
Position;Data collector;A week;Shared;Disagree;Agree;;;Neither disagree nor agree;Disagree;Deny
Presence;Data collector;Always;Unspecified;Neither disagree nor agree;Agree;;;Agree;Agree;Allow
Position;Data collector;A year;Shared;Neither disagree nor agree;Agree;;;Neither disagree nor agree;Agree;Deny
Video;User;Unspecified;Shared;Agree;Totally agree;;;Neither disagree nor agree;Agree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Agree;Totally agree;;;Agree;Agree;Allow
Position;Data collector;A week;Shared;Agree;Agree;;;Agree;Totally disagree;Allow
Presence;Data collector;Always;Unspecified;Neither disagree nor agree;Disagree;Agree;;Disagree;Totally disagree;Allow
Position;Data collector;A year;Shared;Neither disagree nor agree;Disagree;Agree;;Disagree;Totally disagree;Allow
Video;User;Unspecified;Shared;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Agree;Agree;;;Agree;Agree;Allow
Position;Data collector;A week;Shared;Agree;Agree;;;Disagree;Disagree;Allow
Presence;Data collector;Always;Unspecified;Agree;Agree;;;Disagree;Disagree;Allow
Position;Data collector;A year;Shared;Agree;Agree;;;Disagree;Disagree;Allow
Video;User;Unspecified;Shared;Agree;Agree;;;Disagree;Disagree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Agree;Agree;;;Disagree;Disagree;Allow
Position;Data collector;A week;Shared;Totally agree;Totally agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Presence;Data collector;Always;Unspecified;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Position;Data collector;A year;Shared;Agree;Agree;;;Agree;Agree;Allow
Video;User;Unspecified;Shared;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Position;Data collector;A week;Shared;Neither disagree nor agree;Neither disagree nor agree;;;Neither disagree nor agree;Disagree;Deny
Presence;Data collector;Always;Unspecified;Disagree;Neither disagree nor agree;;;Agree;Totally agree;Deny
Position;Data collector;A year;Shared;Disagree;Disagree;Disagree;Disagree;Disagree;Neither disagree nor agree;Deny
Video;User;Unspecified;Shared;Agree;Neither disagree nor agree;;;Neither disagree nor agree;Disagree;Deny
Biometric data;Data collector;Until the purpose is satisfied;Shared;Disagree;Neither disagree nor agree;;;Neither disagree nor agree;Neither disagree nor agree;Deny
Position;Data collector;A week;Shared;Disagree;Neither disagree nor agree;;;Disagree;Disagree;Deny
Presence;Data collector;Always;Unspecified;Agree;Agree;;;Disagree;Disagree;Allow
Position;Data collector;A year;Shared;Disagree;Neither disagree nor agree;;;Disagree;Disagree;Deny
Video;User;Unspecified;Shared;Agree;Totally agree;;;Disagree;Disagree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Agree;Totally agree;;;Disagree;Disagree;Allow
Position;Data collector;A week;Shared;Totally agree;Totally disagree;Neither disagree nor agree;;Totally agree;Totally agree;Allow
Presence;Data collector;Always;Unspecified;Totally agree;Totally disagree;Neither disagree nor agree;;Totally agree;Totally agree;Allow
Position;Data collector;A year;Shared;Totally agree;Totally disagree;Neither disagree nor agree;;Totally agree;Totally agree;Allow
Video;User;Unspecified;Shared;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Totally agree;Neither disagree nor agree;;;Totally agree;Totally agree;Allow
Position;Data collector;A week;Shared;Agree;Agree;;;Disagree;Totally disagree;Allow
Presence;Data collector;Always;Unspecified;Agree;Agree;;;Agree;Disagree;Allow
Position;Data collector;A year;Shared;Agree;Agree;;;Agree;Agree;Allow
Video;User;Unspecified;Shared;Agree;Agree;;;Agree;Agree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Agree;Agree;;;Agree;Agree;Allow
Position;Data collector;A week;Shared;Totally agree;Agree;;;Agree;Agree;Allow
Presence;Data collector;Always;Unspecified;Agree;Agree;;;Agree;Agree;Allow
Position;Data collector;A year;Shared;Agree;Agree;;;Agree;Agree;Allow
Video;User;Unspecified;Shared;Agree;Agree;;;Agree;Agree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Agree;Agree;;;Agree;Agree;Allow
Position;Data collector;A week;Shared;Neither disagree nor agree;Neither disagree nor agree;;;Agree;Disagree;Deny
Presence;Data collector;Always;Unspecified;Totally disagree;Agree;;;Disagree;Totally disagree;Deny
Position;Data collector;A year;Shared;Disagree;Neither disagree nor agree;;;Disagree;Totally disagree;Deny
Video;User;Unspecified;Shared;Totally disagree;Totally disagree;Neither disagree nor agree;;Disagree;Totally disagree;Deny
Biometric data;Data collector;Until the purpose is satisfied;Shared;Totally disagree;Neither disagree nor agree;;;Totally disagree;Totally disagree;Deny
Position;Data collector;A week;Shared;Totally agree;Totally disagree;Neither disagree nor agree;;Disagree;Totally disagree;Allow
Presence;Data collector;Always;Unspecified;Agree;Totally disagree;Neither disagree nor agree;;Totally disagree;Totally disagree;Allow
Position;Data collector;A year;Shared;Totally agree;Neither disagree nor agree;;;Totally disagree;Totally disagree;Allow
Video;User;Unspecified;Shared;Agree;Neither disagree nor agree;;;Disagree;Totally disagree;Allow
Biometric data;Data collector;Until the purpose is satisfied;Shared;Totally agree;Agree;;;Totally disagree;Totally disagree;Allow
Position;Data collector;Unspecified;Shared;Neither disagree nor agree;Totally agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Biometric data;User;Until the purpose is satisfied;Shared;Agree;Totally agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Position;Data collector;A year;Unspecified;Agree;Totally agree;;;Disagree;Totally disagree;Allow
Presence;User;A week;Unspecified;Totally agree;Totally agree;;;Totally agree;Agree;Allow
Video;Data collector;Always;Shared;Totally agree;Totally agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Position;Data collector;Unspecified;Shared;Totally agree;Disagree;Disagree;Totally agree;Totally agree;Totally agree;Allow
Biometric data;User;Until the purpose is satisfied;Shared;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Position;Data collector;A year;Unspecified;Totally agree;Disagree;Disagree;Disagree;Totally agree;Totally agree;Allow
Presence;User;A week;Unspecified;Totally agree;Disagree;Disagree;Disagree;Totally agree;Totally agree;Allow
Video;Data collector;Always;Shared;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Position;Data collector;Unspecified;Shared;Agree;Neither disagree nor agree;;;Disagree;Disagree;Allow
Biometric data;User;Until the purpose is satisfied;Shared;Disagree;Neither disagree nor agree;;;Totally disagree;Totally disagree;Deny
Position;Data collector;A year;Unspecified;Agree;Neither disagree nor agree;;;Agree;Disagree;Allow
Presence;User;A week;Unspecified;Agree;Neither disagree nor agree;;;Agree;Disagree;Allow
Video;Data collector;Always;Shared;Totally agree;Agree;;;Agree;Agree;Allow
Position;Data collector;Unspecified;Shared;Totally agree;Agree;;;Totally agree;Neither disagree nor agree;Allow
Biometric data;User;Until the purpose is satisfied;Shared;Totally agree;Totally agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Position;Data collector;A year;Unspecified;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Presence;User;A week;Unspecified;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Video;Data collector;Always;Shared;Totally agree;Totally agree;;;Totally agree;Totally agree;Allow
Position;Data collector;Unspecified;Shared;Agree;Agree;;;Disagree;Disagree;Deny
Biometric data;User;Until the purpose is satisfied;Shared;Agree;Agree;;;Agree;Agree;Allow
Position;Data collector;A year;Unspecified;Agree;Agree;;;Neither disagree nor agree;Agree;Allow
Presence;User;A week;Unspecified;Neither disagree nor agree;Agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Video;Data collector;Always;Shared;Agree;Agree;;;Agree;Agree;Allow
Position;Data collector;Unspecified;Shared;Neither disagree nor agree;Agree;;;Disagree;Disagree;Allow
Biometric data;User;Until the purpose is satisfied;Shared;Agree;Agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Position;Data collector;A year;Unspecified;Agree;Agree;;;Neither disagree nor agree;Disagree;Allow
Presence;User;A week;Unspecified;Agree;Agree;;;Disagree;Disagree;Allow
Video;Data collector;Always;Shared;Disagree;Agree;;;Disagree;Disagree;Deny
Position;Data collector;Unspecified;Shared;Totally disagree;Totally agree;;;Totally disagree;Totally disagree;Deny
Biometric data;User;Until the purpose is satisfied;Shared;Totally disagree;Totally agree;;;Totally disagree;Totally disagree;Deny
Position;Data collector;A year;Unspecified;Totally disagree;Totally agree;;;Totally disagree;Totally disagree;Deny
Presence;User;A week;Unspecified;Totally disagree;Totally agree;;;Totally disagree;Totally disagree;Deny
Video;Data collector;Always;Shared;Totally disagree;Totally agree;;;Totally disagree;Totally disagree;Deny
Position;Data collector;Unspecified;Shared;Agree;Neither disagree nor agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Biometric data;User;Until the purpose is satisfied;Shared;Agree;Agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Position;Data collector;A year;Unspecified;Agree;Neither disagree nor agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Presence;User;A week;Unspecified;Neither disagree nor agree;Neither disagree nor agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Video;Data collector;Always;Shared;Neither disagree nor agree;Neither disagree nor agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Position;Data collector;Unspecified;Shared;Disagree;Agree;;;Totally disagree;Totally disagree;Deny
Biometric data;User;Until the purpose is satisfied;Shared;Agree;Agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Position;Data collector;A year;Unspecified;Totally disagree;Neither disagree nor agree;;;Disagree;Disagree;Deny
Presence;User;A week;Unspecified;Agree;Neither disagree nor agree;;;Agree;Agree;Allow
Video;Data collector;Always;Shared;Agree;Agree;;;Agree;Agree;Allow
Position;Data collector;Unspecified;Shared;Agree;Agree;;;Totally disagree;Totally disagree;Allow
Biometric data;User;Until the purpose is satisfied;Shared;Agree;Totally agree;;;Totally disagree;Totally disagree;Allow
Position;Data collector;A year;Unspecified;Totally agree;Totally agree;;;Totally disagree;Totally disagree;Allow
Presence;User;A week;Unspecified;Agree;Totally agree;;;Disagree;Disagree;Allow
Video;Data collector;Always;Shared;Disagree;Totally agree;;;Totally disagree;Totally disagree;Deny
Video;Data collector;Unspecified;Unspecified;Agree;Totally agree;;;Totally disagree;Totally disagree;Deny
Video;User;Always;Unspecified;Agree;Totally agree;;;Totally disagree;Totally disagree;Deny
Position;Data collector;Until the purpose is satisfied;Unspecified;Totally disagree;Disagree;Disagree;Agree;Totally disagree;Totally disagree;Deny
Presence;Data collector;A week;Unspecified;Totally agree;Agree;;;Totally agree;Totally agree;Allow
Biometric data;User;A year;Shared;Agree;Totally agree;;;Totally agree;Totally agree;Allow
Video;Data collector;Unspecified;Unspecified;Neither disagree nor agree;Agree;;;Disagree;Disagree;Deny
Video;User;Always;Unspecified;Neither disagree nor agree;Agree;;;Disagree;Disagree;Deny
Position;Data collector;Until the purpose is satisfied;Unspecified;Agree;Agree;;;Disagree;Disagree;Deny
Presence;Data collector;A week;Unspecified;Neither disagree nor agree;Agree;;;Neither disagree nor agree;Disagree;Deny
Biometric data;User;A year;Shared;Neither disagree nor agree;Agree;;;Disagree;Disagree;Deny
Video;Data collector;Unspecified;Unspecified;Neither disagree nor agree;Totally agree;;;Agree;Disagree;Deny
Video;User;Always;Unspecified;Neither disagree nor agree;Totally agree;;;Agree;Disagree;Deny
Position;Data collector;Until the purpose is satisfied;Unspecified;Neither disagree nor agree;Neither disagree nor agree;;;Neither disagree nor agree;Disagree;Deny
Presence;Data collector;A week;Unspecified;Neither disagree nor agree;Agree;;;Neither disagree nor agree;Neither disagree nor agree;Deny
Biometric data;User;A year;Shared;Neither disagree nor agree;Totally agree;;;Agree;Agree;Allow
Video;Data collector;Unspecified;Unspecified;Totally agree;Agree;;;Neither disagree nor agree;Totally disagree;Allow
Video;User;Always;Unspecified;Neither disagree nor agree;Totally agree;;;Neither disagree nor agree;Disagree;Allow
Position;Data collector;Until the purpose is satisfied;Unspecified;Totally agree;Neither disagree nor agree;;;Neither disagree nor agree;Neither disagree nor agree;Allow
Presence;Data collector;A week;Unspecified;Totally agree;Totally agree;;;Agree;Neither disagree nor agree;Allow
Biometric data;User;A year;Shared;Totally agree;Totally agree;;;Agree;Agree;Allow
